system:index,mean_anomaly,month,year,.geo
59,16.406734899332665,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,22.39373695494197,1.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,-5.952100267899948,2.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,-11.052508973098494,3.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,13.960328002852577,4.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,-6.10673622896743,5.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,7.749391226421111,6.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,-1.9426011770190905,7.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,31.726325538377473,8.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,-3.4904447652965245,9.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,-0.8101258440486971,10.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,9.359379433088531,11.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,-3.976766522587126,12.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
